Date,King,Pierce,Snohomish,Adams,Asotin,Benton,Chelan,Clallam,Clark,Columbia,Cowlitz,Douglas,Ferry,Franklin,Garfield,Grant,Grays_Harbor,Island,Jefferson,Kitsap,Kittitas,Klickitat,Lewis,Lincoln,Mason,Okanogan,Pacific,Pend_Oreille,San_Juan,Skagit,Skamania,Spokane,Stevens,Thurston,Wahkiakum,Walla_Walla,Whatcom,Whitman,Yakima,Unassigned
2/28,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/29,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/3,21,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/4,31,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/5,51,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/6,58,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/7,71,1,27,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/8,83,4,31,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14
3/9,116,4,37,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/10,190,16,54,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3/11,234,17,68,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,36
3/12,270,17,108,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,1,2,3,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,46
3/13,328,19,133,0,0,0,0,0,1,1,0,0,0,0,0,1,1,3,1,3,3,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,2,67
3/14,388,26,154,0,0,0,0,0,3,1,0,0,0,0,0,2,1,7,1,3,3,0,0,0,0,0,0,0,0,4,0,3,0,3,0,0,2,0,4,39
3/15,420,29,176,0,0,0,0,0,3,1,0,0,0,0,0,2,1,6,3,3,3,0,0,1,0,0,0,0,0,4,0,3,0,3,0,0,3,0,4,104
3/16,488,38,200,0,0,0,0,0,4,1,0,0,0,0,0,3,1,7,3,7,3,0,1,1,0,0,0,0,0,7,0,3,0,4,0,0,3,0,4,126
3/17,518,45,254,0,0,0,2,0,4,1,0,0,0,0,0,7,1,14,3,7,3,1,1,1,0,0,0,0,0,9,0,4,0,5,0,0,6,0,5,70
3/18,562,56,310,0,0,0,2,0,4,1,0,0,0,1,0,8,1,16,4,9,4,1,1,1,1,0,0,0,0,14,0,4,0,6,0,0,7,0,7,167
3/19,693,75,348,0,0,1,2,1,4,1,0,0,0,2,0,8,1,17,4,12,4,2,1,1,1,0,0,0,0,18,0,9,0,6,0,0,7,0,7,151
3/20,793,83,385,0,0,2,2,1,6,1,1,0,0,2,0,8,1,19,4,12,4,2,1,1,1,0,0,0,0,25,0,11,0,6,0,0,10,0,10,133
3/21,934,95,447,0,0,7,3,2,9,1,2,0,0,2,0,11,1,19,4,15,4,4,2,1,1,0,0,0,1,28,0,16,1,9,0,0,14,0,13,147
3/22,1040,107,480,0,0,7,3,4,10,1,3,0,0,3,0,18,1,21,6,18,4,4,2,1,1,0,0,0,1,33,0,20,1,11,0,1,14,0,16,165
3/23,1170,126,519,1,0,7,6,4,13,1,3,1,0,3,0,23,1,25,7,18,5,4,2,1,1,0,0,0,1,45,0,29,1,11,0,1,48,2,25,117
3/24,1277,138,614,1,0,12,6,4,16,1,3,2,0,7,0,27,1,29,8,20,18,6,2,1,2,0,0,0,1,48,0,33,1,14,0,2,64,2,44,65
3/25,1359,155,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432
3/26,1577,186,778,3,0,19,10,5,48,1,7,5,1,7,0,33,1,64,11,33,8,7,5,1,2,1,0,0,2,78,0,67,2,24,0,2,86,3,61,69
3/27,1828,231,913,5,0,42,13,5,76,1,7,5,1,12,0,42,1,79,11,42,8,7,7,1,2,2,0,0,3,91,1,86,3,27,0,2,92,5,72,45
3/28,2161,288,1068,7,0,101,14,6,68,1,13,5,1,32,0,50,1,95,14,56,7,7,10,1,2,3,0,0,3,101,1,136,3,36,0,6,111,6,95,387
3/29,2235,307,1104,10,0,82,15,7,80,1,14,5,1,27,0,51,2,105,14,65,7,8,10,1,4,3,0,0,4,111,1,126,3,37,0,5,120,7,101,389
3/30,2366,334,1162,12,0,103,16,7,85,1,15,5,1,35,0,61,2,106,15,72,7,8,10,1,5,3,0,0,4,116,1,135,4,40,0,6,123,8,154,492
3/31,2468,352,1221,15,0,108,17,7,99,1,16,6,1,37,0,66,2,106,17,77,7,8,10,1,5,3,0,0,4,129,1,145,4,46,0,7,123,8,195,672
4/1,2609,368,1266,20,0,133,18,7,112,1,16,6,1,43,0,68,2,114,19,85,9,8,12,1,10,4,0,0,5,148,1,167,5,49,0,8,124,10,216,920
