Date,King,Pierce,Snohomish,Yakima,Adams,Asotin,Benton,Chelan,Clallam,Clark,Columbia,Cowlitz,Douglas,Ferry,Franklin,Garfield,Grant,Grays_Harbor,Island,Jefferson,Kitsap,Kittitas,Klickitat,Lewis,Lincoln,Mason,Okanogan,Pacific,Pend_Oreille,San_Juan,Skagit,Skamania,Spokane,Stevens,Thurston,Wahkiakum,Walla_Walla,Whatcom,Whitman,Unassigned
2/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/3,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/4,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/5,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/6,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/7,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/8,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/9,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/10,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/11,26,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/12,27,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/13,32,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/14,35,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15,37,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/16,43,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/17,46,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/18,56,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/19,60,1,7,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/20,67,1,8,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6
3/21,74,1,10,0,0,0,2,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
3/22,75,1,10,0,0,0,2,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
3/23,87,1,11,0,0,0,2,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
3/24,94,1,16,1,0,0,2,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
3/25,100,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
3/26,109,4,16,2,0,0,4,0,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0
3/27,125,5,23,2,0,0,5,1,0,6,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0
3/28,144,6,21,2,0,0,3,1,0,5,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,4,0,1
3/29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/31,165,7,38,6,0,0,3,2,0,6,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,4,0,3,0,0,0,0,8,0,0
4/1,175,7,38,6,0,0,4,2,0,7,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,4,0,5,0,0,0,0,8,0,1
4/2,188,7,38,6,0,0,9,2,0,8,0,0,0,0,1,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,4,0,7,0,0,0,0,8,0,1
4/3,200,8,45,6,0,0,12,2,0,8,0,0,0,0,1,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,4,0,9,0,1,0,0,8,0,1
4/4,208,10,47,12,0,0,13,2,0,8,0,0,0,0,2,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,4,0,10,0,1,0,0,15,0,0
4/5,220,12,55,12,0,0,17,2,0,8,0,0,0,0,2,0,2,0,6,0,0,0,1,0,0,0,0,0,0,0,4,0,11,0,1,0,0,19,0,0
4/6,226,15,59,16,0,0,18,2,0,10,0,0,0,0,2,0,2,0,6,0,0,0,1,1,0,0,0,0,0,0,4,0,12,0,1,0,0,19,0,0
4/7,242,15,62,18,0,0,18,2,0,10,0,0,0,0,2,0,2,0,7,0,1,1,1,2,0,0,0,0,0,0,5,0,12,0,1,0,0,20,0,0
4/8,257,16,62,19,0,0,21,2,0,14,0,0,0,0,2,0,2,0,7,0,1,0,1,2,0,0,0,0,0,0,5,0,13,0,1,0,0,21,0,0
4/9,275,15,65,19,0,0,24,5,0,14,0,0,0,0,2,0,2,0,7,0,1,0,1,3,0,0,0,0,0,0,5,0,13,0,1,0,0,22,1,0
4/10,282,17,68,21,0,0,26,5,0,14,0,0,0,0,2,0,2,0,7,0,1,0,1,2,0,0,0,0,0,0,6,0,13,0,1,0,0,23,0,0
4/11,292,20,70,21,0,0,28,5,0,14,0,0,0,0,2,0,2,0,7,0,1,0,1,2,0,0,0,0,0,0,6,0,13,0,1,0,0,23,0,0
4/12,295,20,70,23,0,0,29,5,0,14,0,0,0,0,2,0,2,0,7,0,1,0,1,2,0,0,0,0,0,0,6,0,13,1,1,0,0,23,0,1
4/13,303,23,77,25,0,0,29,5,0,14,0,0,0,0,2,0,2,0,8,0,1,0,2,2,0,0,0,0,0,0,6,0,15,1,1,0,0,25,0,0
4/14,312,28,81,29,0,0,30,5,0,14,0,0,1,0,4,0,2,0,8,0,1,0,2,2,0,0,0,0,0,0,6,0,15,1,1,0,0,25,0,0
4/15,320,30,85,29,0,0,32,5,0,14,0,0,1,0,4,0,2,0,8,0,1,0,2,2,0,0,0,0,0,0,6,0,15,1,1,0,0,25,0,0
4/16,330,30,89,34,0,0,32,5,0,14,0,0,1,0,4,0,2,0,8,0,1,0,3,2,0,0,0,0,0,0,6,0,15,1,1,0,0,25,0,0
4/17,339,32,93,35,0,0,34,5,0,15,0,0,1,0,4,0,2,0,8,0,1,0,3,2,0,0,0,0,0,0,7,0,15,1,1,0,0,26,0,0
4/18,346,32,94,36,0,0,34,5,0,15,0,0,1,0,4,0,2,0,8,0,1,0,3,2,0,0,0,0,0,0,8,0,15,1,1,0,0,26,0,0
4/19,358,32,96,37,0,0,34,5,0,15,0,0,1,0,4,0,2,0,8,0,1,0,3,2,0,0,0,0,0,0,8,0,17,1,1,0,0,27,0,0
4/20,373,35,99,38,0,1,35,5,0,15,0,0,1,0,4,0,2,0,9,0,2,0,3,3,0,0,0,0,0,0,9,0,18,1,1,0,0,27,0,1
4/21,379,37,100,39,0,1,35,5,0,15,0,0,1,0,4,0,2,0,9,0,2,0,3,3,0,0,0,0,0,0,9,0,19,1,1,0,0,27,0,0
4/22,385,44,101,41,0,1,36,5,0,15,0,0,1,0,5,0,2,0,9,0,2,0,3,3,0,0,0,0,0,0,10,0,19,1,1,0,0,27,0,0
4/23,393,43,102,43,0,1,36,5,0,16,0,0,1,0,5,0,2,0,9,0,2,0,3,3,0,0,0,0,0,0,10,0,19,1,1,0,0,27,0,1
4/24,400,46,102,44,0,1,37,5,0,18,0,0,1,0,5,0,2,0,9,0,2,0,3,3,0,0,1,0,0,0,10,0,19,1,1,0,0,27,0,1
4/25,408,46,104,44,0,1,37,5,0,18,0,0,1,0,5,0,2,0,9,0,2,0,3,3,0,1,1,0,0,0,11,0,19,1,1,0,0,27,0,0
4/26,416,47,106,45,0,1,38,5,0,18,0,0,1,0,5,0,2,0,9,0,2,0,3,3,0,1,1,0,0,0,11,0,20,1,1,0,0,28,0,1
4/27,429,48,108,45,0,2,39,5,0,18,0,0,1,0,7,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,12,0,20,1,1,0,0,28,0,0
4/28,438,49,108,47,0,2,40,5,0,19,0,0,1,0,8,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,12,0,20,1,1,0,0,28,0,0
4/29,447,49,108,47,0,2,41,5,0,19,0,0,1,0,9,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,13,0,21,1,1,0,0,28,0,0
4/30,452,50,109,47,0,2,41,5,0,19,0,0,1,0,11,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,13,0,22,1,1,0,0,28,0,0
5/1,457,50,109,47,0,2,43,5,0,19,0,0,1,0,10,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,13,0,22,1,1,0,0,28,0,0
